No,name,score,recommendation,yanyuan,daoyan,year,country,classes
96,加勒比海盗,8.8,约翰尼·德普的独角戏。,主演: 约翰尼·德普 Johnny Depp / ...,导演: 戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻
97,哈利·波特与密室,8.8,魔法的密室之门已打开...,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,导演: Chris Columbus,2002,英国 美国,奇幻 冒险
98,狩猎,9.1,人言可畏。,主演: 麦斯·米科尔森 Mads Mik...,导演: 托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情
99,一一,9.1,我们都曾经是一一。,主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,导演: 杨德昌 Edward Yang,2000,中国台湾 日本,剧情 爱情 家庭
100,7号房的礼物,8.9,《我是山姆》的《美丽人生》。,主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,导演: 李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭
101,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,主演: 中谷美纪 Miki Nakatani / 瑛太 E...,导演: 中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞
102,唐伯虎点秋香,8.7,华太师是黄霑，吴镇宇四大才子之一。,主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,导演: 李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装
103,请以你的名字呼唤我,8.9,沉醉在电影的情感和视听氛围中无法自拔。,主演: 艾米·汉莫 Armie Hammer / ...,导演: 卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国,剧情 爱情 同性
104,断背山,8.8,每个人心中都有一座断背山。,主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,导演: 李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭
105,剪刀手爱德华,8.7,浪漫忧郁的成人童话。,主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,导演: 蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情
106,勇敢的心,8.9,史诗大片的典范。,主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,导演: 梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争
107,入殓师,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,主演: 本木雅弘 Masahiro Motoki / ...,导演: 泷田洋二郎 Yôjirô Takita,2008,日本,剧情
108,爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,主演: 伊桑·霍克 Ethan Hawke ...,导演: 理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情
109,第六感,8.9,深入内心的恐怖，出人意料的结局。,主演: 布鲁斯·威利斯 Bruce Wi...,导演: M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚
110,重庆森林,8.8,寂寞没有期限。,主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,导演: 王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情
